"city","state_id","lat","lng","population","density","source","military","incorporated","timezone","ranking","zips","id"
"Camden","NJ","39.9361","-75.1073",72381,"3133.5","shape",False,True,"America/New_York",2,"08104 08105 08102 08103 08101",1840001507
"Redmond","WA","47.6763","-122.1169",72166,"1681.9","shape",False,True,"America/Los_Angeles",3,"98052 98073",1840019835
"Wilmington","DE","39.7415","-75.5416",70926,"2513.5","shape",False,True,"America/New_York",2,"19802 19801 19806 19805 19809 19850 19880 19884 19885 19886 19890 19893 19894 19895 19896 19898 19899",1840005579
"Union City","CA","37.6032","-122.0181",70828,"1409.8","shape",False,True,"America/Los_Angeles",3,"94552 94587",1840021539
"Walnut Creek","CA","37.9024","-122.0399",69876,"1365.3","shape",False,True,"America/Los_Angeles",3,"94597 94598 94596 94595",1840021531
"Palo Alto","CA","37.3905","-122.1468",68624,"1101.7","shape",False,True,"America/Los_Angeles",3,"94028 94022 94303 94301 94306 94304 94302",1840020333
"Hanford","CA","36.3274","-119.6549",68122,"1267.6","shape",False,True,"America/Los_Angeles",3,"93230",1840020382
"South San Francisco","CA","37.6538","-122.4196",66331,"2782.5","shape",False,True,"America/Los_Angeles",2,"94080 94083",1840021552
"Pico Rivera","CA","33.9901","-118.0888",62383,"2896.6","shape",False,True,"America/Los_Angeles",2,"90660 90661 90662",1840020506
"San Rafael","CA","37.9905","-122.5221",61158,"1423.6","shape",False,True,"America/Los_Angeles",3,"94901 94903 94915",1840021513
"Gardena","CA","33.8943","-118.3072",60917,"4034.9","shape",False,True,"America/Los_Angeles",2,"90249 90247",1840020482
"Cupertino","CA","37.3168","-122.0466",60681,"2068.3","shape",False,True,"America/Los_Angeles",2,"95014 95015 95108 95170",1840018950
"Huntersville","NC","35.406","-80.8716",60166,"561.9","shape",False,True,"America/New_York",3,"28078 28070",1840016349
"Hoboken","NJ","40.7452","-74.0281",59369,"18334.9","shape",False,True,"America/New_York",2,"7030",1840003599
"Arcadia","CA","34.1342","-118.0373",56697,"2003.4","shape",False,True,"America/Los_Angeles",2,"91006 91007 91066 91077",1840019223
"Novato","CA","38.092","-122.5575",53214,"747.8","shape",False,True,"America/Los_Angeles",3,"94949 94945 94947 94998",1840020260
"Grapevine","TX","32.9343","-97.0742",50548,"606.8","shape",False,True,"America/Chicago",3,"75261 76051 76099",1840020697
"Downers Grove","IL","41.7949","-88.0172",50209,"1323.2","shape",False,True,"America/Chicago",3,"60515 60516",1840011404
"Draper","UT","40.4957","-111.8605",49978,"644","shape",False,True,"America/Denver",3,"84020",1840018747
"Cerritos","CA","33.8678","-118.0686",49630,"2195.8","shape",False,True,"America/Los_Angeles",2,"90703",1840019215
"Azusa","CA","34.1386","-117.9124",49457,"1976.5","shape",False,True,"America/Los_Angeles",3,"91702 91010",1840019226
"Jeffersonville","IN","38.3376","-85.7026",49178,"557.2","shape",False,True,"America/Kentucky/Louisville",3,"47130 47131 47132 47133 47134 47144 47190 47199",1840008642
"Dublin","OH","40.1112","-83.1454",48613,"760.5","shape",False,True,"America/New_York",3,"43017 43016",1840008389
"Mooresville","NC","35.5847","-80.8266",48431,"705.3","shape",False,True,"America/New_York",3,"28117 28115",1840016215
"Glenview","IL","42.0825","-87.8214",48150,"1327.8","shape",False,True,"America/Chicago",3,"60025 60026",1840011280
"Newark","CA","37.5201","-122.0307",47815,"1326.3","shape",False,True,"America/Los_Angeles",3,"94560",1840020295
"Brea","CA","33.9254","-117.8655",46912,"1488.3","shape",False,True,"America/Los_Angeles",3,"92821 92823 92822",1840019323
"Littleton","CO","39.5915","-105.0188",45465,"1391.1","shape",False,True,"America/Denver",3,"80128 80122 80123 80120 80160 80165 80166",1840020213
"Campbell","CA","37.2802","-121.9539",43954,"2790.8","shape",False,True,"America/Los_Angeles",2,"95008 95009 95011",1840018949
"Coppell","TX","32.9639","-96.9903",42420,"1135.5","shape",False,True,"America/Chicago",3,"75019 75099",1840019439
"Culver City","CA","34.0058","-118.3968",40640,"3069.7","shape",False,True,"America/Los_Angeles",2,"90232 90230 90231",1840019243
"Fort Lee","NJ","40.8509","-73.9713",39701,"6088.5","shape",False,True,"America/New_York",2,"7024",1840003552
"Issaquah","WA","47.5439","-122.0471",39057,"1243.2","shape",False,True,"America/Los_Angeles",3,"98029 98027",1840018422
"Westerville","OH","40.1241","-82.921",38960,"1193.7","shape",False,True,"America/New_York",3,"43081 43082 43086",1840003763
"Farmers Branch","TX","32.9272","-96.8804",36091,"1172.9","shape",False,True,"America/Chicago",3,"75234 75244 75381",1840020706
"Northbrook","IL","42.1292","-87.8352",35108,"1023.8","shape",False,True,"America/Chicago",3,"60062 60082",1840011304
"Woodridge","IL","41.737","-88.0409",34161,"1369.3","shape",False,True,"America/Chicago",3,"60517",1840011411
"Menlo Park","CA","37.4685","-122.1673",33677,"1301.6","shape",False,True,"America/Los_Angeles",3,"94025 94026",1840020305
"Foster City","CA","37.5553","-122.2659",33511,"3416.4","shape",False,True,"America/Los_Angeles",2,"94404",1840020302
"Englewood","CO","39.6468","-104.9942",33500,"1971.5","shape",False,True,"America/Denver",3,"80113 80110 80150 80151",1840020211
"Los Gatos","CA","37.2304","-121.9562",33309,"1113.3","shape",False,True,"America/Los_Angeles",3,"95032 95030 95036",1840021575
"Beverly Hills","CA","34.0786","-118.4021",32903,"2225.6","shape",False,True,"America/Los_Angeles",2,"90211 90210 90212 90209",1840019231
"American Fork","UT","40.3783","-111.7953",32822,"1116.5","shape",False,True,"America/Denver",3,"84003",1840018756
"Elk Grove Village","IL","42.0064","-87.9921",32763,"1094.7","shape",False,True,"America/Chicago",3,"60007 60009",1840011271
"Burlingame","CA","37.5859","-122.3667",31142,"2737","shape",False,True,"America/Los_Angeles",2,"94010 94011",1840018925
"East Palo Alto","CA","37.4671","-122.1352",29888,"4564.9","shape",False,True,"America/Los_Angeles",2,"94303",1840020301
"Hercules","CA","38.0064","-122.2564",26050,"1568.5","shape",False,True,"America/Los_Angeles",3,"94547 94572",1840020276
"Reedley","CA","36.5988","-119.4471",25168,"1744.2","shape",False,True,"America/Los_Angeles",3,"93654",1840020320
"Rolling Meadows","IL","42.0747","-88.0252",24300,"1670.7","shape",False,True,"America/Chicago",3,"60008",1840009185
"South Plainfield","NJ","40.5748","-74.4152",24251,"1128.6","shape",False,True,"America/New_York",3,"7080",1840001334
"Fort Mill","SC","35.0061","-80.9389",24069,"471.6","shape",False,True,"America/New_York",3,"29715 29716",1840016479
"King of Prussia","PA","40.0963","-75.3821",23841,"1083.6","shape",False,False,"America/New_York",3,"19406 19484",1840005464
"Maywood","IL","41.8798","-87.8442",23547,"3345.7","shape",False,True,"America/Chicago",2,"60153",1840011294
"Millbrae","CA","37.5994","-122.4023",23083,"2726.6","shape",False,True,"America/Los_Angeles",2,"94030",1840020306
"Summit","NJ","40.7154","-74.3647",22598,"1455.6","shape",False,True,"America/New_York",3,"07901 07902",1840000999
"Parsippany","NJ","40.8645","-74.4135",21931,"1391.2","shape",False,False,"America/New_York",3,"07054 07005",1840033373
"Secaucus","NJ","40.781","-74.0659",21439,"1420.7","shape",False,True,"America/New_York",3,"07094 07096",1840001033
"Louisville","CO","39.971","-105.1441",21091,"1021.7","shape",False,True,"America/Denver",3,"80027",1840020179
"Deerfield","IL","42.1654","-87.8516",19228,"1340.4","shape",False,True,"America/Chicago",3,"60015",1840011167
"West Chester","PA","39.9601","-75.6058",18592,"3888.2","shape",False,True,"America/New_York",2,"19380 19382 19383",1840001436
"Iselin","NJ","40.5697","-74.3172",17684,"2166.4","shape",False,False,"America/New_York",2,"8830",1840005418
"El Segundo","CA","33.917","-118.4018",17243,"1221.8","shape",False,True,"America/Los_Angeles",3,"90245",1840020481
"Stafford","TX","29.6271","-95.5654",17170,"945.5","shape",False,True,"America/Chicago",3,"77477 77497",1840022216
"Addison","TX","32.959","-96.8355",16405,"1455.2","shape",False,True,"America/Chicago",3,"75254 75001 75391",1840022057
"Stanford","CA","37.4252","-122.1674",16333,"2292.8","shape",False,False,"America/Los_Angeles",2,"94305 94304 94309",1840028400
"Beech Grove","IN","39.7157","-86.0871",15202,"1313.4","shape",False,True,"America/Indiana/Indianapolis",3,"46107 46203",1840007307
"Lone Tree","CO","39.5309","-104.8709",13701,"539.3","shape",False,True,"America/Denver",3,"80124 80134",1840020222
"Northlake","IL","41.9142","-87.9054",12836,"1560.5","shape",False,True,"America/Chicago",3,"60164",1840008131
"Emeryville","CA","37.8382","-122.2932",12747,"3865.6","shape",False,True,"America/Los_Angeles",2,"94608 94662",1840020291
"Florham Park","NJ","40.7773","-74.3953",12655,"668.1","shape",False,True,"America/New_York",3,"07961 07932",1840003582
"Franklin Lakes","NJ","41.0086","-74.2083",11034,"452.5","shape",False,True,"America/New_York",3,"7417",1840003553
